City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
7,Mar Del Plata,AR,-38.0023,-57.5575,70.0,88,75,3.44,mist
10,Port Alfred,ZA,-33.5906,26.891,68.5,85,100,15.48,overcast clouds
14,Coahuayana,MX,18.7333,-103.6833,75.2,50,1,9.22,clear sky
15,Lichinga,MZ,-13.3128,35.2406,64.4,100,75,8.05,broken clouds
20,Tanout,NE,14.9709,8.8879,75.97,14,81,12.39,broken clouds
21,Hobart,AU,-42.8794,147.3294,64.4,82,75,6.91,light rain
23,Sabzevar,IR,36.2126,57.6819,67.82,33,100,3.67,overcast clouds
25,Bredasdorp,ZA,-34.5322,20.0403,64.4,88,99,9.22,overcast clouds
27,Ormara,PK,25.2088,64.6357,75.02,57,0,5.3,clear sky
30,Jojoima,SL,7.8792,-10.7878,75.07,89,100,1.7,overcast clouds
32,East London,ZA,-33.0153,27.9116,68.05,86,100,10.67,light rain
33,Carnarvon,AU,-24.8667,113.6333,75.2,73,21,17.27,few clouds
34,Marzuq,YE,14.4,46.4667,64.49,24,0,5.17,clear sky
36,Pisco,PE,-13.7,-76.2167,68.0,83,0,14.97,clear sky
37,Victoria,HK,22.2855,114.1577,71.01,72,95,14.0,overcast clouds
39,Calvinia,ZA,-31.4707,19.776,67.44,47,0,2.75,clear sky
43,Geraldton,AU,-28.7667,114.6,69.8,52,0,12.66,clear sky
52,Austin,US,30.2672,-97.7431,69.01,88,90,4.61,overcast clouds
55,Hermanus,ZA,-34.4187,19.2345,68.0,82,0,5.99,clear sky
57,Cidreira,BR,-30.1811,-50.2056,73.29,78,3,10.22,clear sky
63,Christchurch,NZ,-43.5333,172.6333,66.2,63,20,17.27,few clouds
71,Caravelas,BR,-17.7125,-39.2481,75.22,83,0,5.06,clear sky
78,Salalah,OM,17.0151,54.0924,75.2,83,20,1.14,few clouds
84,Qui Nhon,VN,13.7667,109.2333,75.36,86,100,6.67,overcast clouds
85,Mahebourg,MU,-20.4081,57.7,73.4,100,20,4.61,few clouds
86,Cape Town,ZA,-33.9258,18.4232,68.0,82,0,2.3,clear sky
94,Saldanha,ZA,-33.0117,17.9442,69.8,68,0,2.3,clear sky
102,Sao Filipe,CV,14.8961,-24.4956,71.67,74,1,16.69,clear sky
106,Waipawa,NZ,-41.4122,175.5153,66.99,68,90,6.91,overcast clouds
111,Hasaki,JP,35.7333,140.8333,64.99,59,75,10.36,broken clouds
112,Humaita,BR,-7.5061,-63.0208,71.17,99,92,1.9,overcast clouds
114,Hualmay,PE,-11.0964,-77.6139,71.06,79,100,10.58,overcast clouds
117,Moron,AR,-34.6534,-58.6198,75.99,78,63,1.99,broken clouds
127,Clarksburg,US,39.2807,-80.3445,68.0,45,1,3.44,clear sky
129,Bayonet Point,US,28.3267,-82.6834,70.0,79,34,4.03,scattered clouds
134,Benjamin Constant,BR,-4.3831,-70.0311,75.2,100,0,2.3,light rain
141,Chokwe,MZ,-24.5333,32.9833,64.4,80,7,4.09,clear sky
152,Souillac,MU,-20.5167,57.5167,73.4,100,20,4.61,few clouds
164,Paita,PE,-5.0892,-81.1144,73.87,77,100,11.99,overcast clouds
174,Tessalit,ML,20.1986,1.0114,66.07,10,0,11.7,clear sky
175,Cabo San Lucas,MX,22.8909,-109.9124,71.6,63,40,17.27,scattered clouds
177,Banyo,CM,6.75,11.8167,66.7,90,100,3.58,overcast clouds
179,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.39,96,100,1.36,overcast clouds
184,Castro,BR,-24.7911,-50.0119,65.21,88,61,2.8,broken clouds
190,Ipixuna,BR,-1.7625,-48.8043,75.2,100,75,3.44,moderate rain
191,Beloha,MG,-25.1667,45.05,66.18,91,19,4.41,few clouds
193,Sungaipenuh,ID,-2.0833,101.3833,67.35,86,99,2.1,overcast clouds
195,Manakara,MG,-22.1333,48.0167,73.9,92,97,6.13,light rain
196,Camabatela,AO,-8.1881,15.375,64.54,99,100,4.63,overcast clouds
197,Chuy,UY,-33.6971,-53.4616,66.18,85,1,7.02,clear sky
207,Nishihara,JP,26.1842,127.7558,71.6,68,40,13.8,scattered clouds
208,Kruisfontein,ZA,-34.0033,24.7314,70.0,81,100,5.99,overcast clouds
214,Kisangani,CD,0.5167,25.2,70.54,98,95,1.79,overcast clouds
227,Jacareacanga,BR,-6.2222,-57.7528,73.31,98,100,2.24,heavy intensity rain
233,Lakes Entrance,AU,-37.8811,147.981,66.0,76,21,5.01,few clouds
235,Adrar,MR,20.5022,-10.0711,70.88,11,0,11.99,clear sky
238,Eyl,SO,7.9803,49.8164,73.71,73,0,9.62,clear sky
245,Namibe,AO,-15.1961,12.1522,72.77,81,100,5.08,light rain
247,Tambopata,PE,-12.7333,-69.1833,72.48,95,71,2.1,broken clouds
248,Bandarbeyla,SO,9.4942,50.8122,75.2,65,1,5.35,clear sky
249,Maceio,BR,-9.6658,-35.7353,75.2,94,75,3.44,broken clouds
256,San Jose,US,37.3394,-121.895,66.99,34,75,11.5,broken clouds
258,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,66.74,84,0,7.29,clear sky
260,Boende,CD,-0.2167,20.8667,70.84,99,100,2.68,moderate rain
261,Lahan,NP,26.7296,86.4951,74.17,21,0,4.74,clear sky
263,Airai,TL,-8.9266,125.4092,71.96,66,50,2.17,scattered clouds
266,Canutama,BR,-6.5339,-64.3831,71.29,98,97,1.7,overcast clouds
271,Taltal,CL,-25.4,-70.4833,67.42,78,6,4.16,clear sky
272,Gurupa,BR,-1.405,-51.64,72.16,98,100,3.2,moderate rain
276,Waggaman,US,29.9185,-90.2109,70.0,83,90,6.91,overcast clouds
277,Port Lincoln,AU,-34.7333,135.8667,65.89,54,7,12.3,clear sky
286,Russell,US,32.3502,-85.1999,64.4,88,20,4.38,few clouds
289,Richards Bay,ZA,-28.783,32.0377,69.64,68,100,3.4,overcast clouds
294,Codajas,BR,-3.8367,-62.0569,70.92,95,94,2.35,overcast clouds
299,Santa Cruz De Tenerife,ES,28.4682,-16.2546,66.99,27,11,6.91,few clouds
302,Bethanien,,-26.502,17.1583,71.91,36,0,5.14,clear sky
310,Araouane,ML,18.9048,-3.5265,70.93,8,9,13.96,clear sky
320,Port Elizabeth,ZA,-33.918,25.5701,68.0,88,75,8.05,broken clouds
323,Baghdad,IQ,33.3406,44.4009,64.4,39,69,18.41,broken clouds
324,Praia,CV,14.9215,-23.5087,69.26,80,1,16.26,clear sky
326,Montepuez,MZ,-13.1256,38.9997,65.5,97,79,3.58,broken clouds
328,Umm Lajj,SA,25.0213,37.2685,70.5,39,0,14.83,clear sky
348,Shashi,CN,30.3072,112.2447,68.0,64,0,4.05,clear sky
355,Tiznit,MA,29.5833,-9.5,64.72,23,0,5.37,clear sky
358,Laje,BR,-10.1833,-40.9667,71.02,48,5,5.14,clear sky
359,Matara,LK,5.9485,80.5353,75.96,89,100,4.5,moderate rain
363,Xam Nua,LA,20.4197,104.0439,67.1,75,22,2.89,few clouds
368,Inhambane,MZ,-23.865,35.3833,70.07,84,28,6.22,scattered clouds
370,Bahia Honda,CU,22.9036,-83.1592,75.79,82,13,9.37,few clouds
373,Buckeye,US,33.3703,-112.5838,73.0,16,2,9.22,clear sky
377,Rio Grande,BR,-32.035,-52.0986,71.01,87,0,11.63,clear sky
378,Nagua,DO,19.3832,-69.8474,73.83,82,0,7.38,clear sky
380,Katsuura,JP,35.1333,140.3,64.99,59,100,3.0,overcast clouds
381,Kutum,SD,14.2,24.6667,72.86,19,12,7.99,few clouds
382,Palembang,ID,-2.9167,104.7458,75.2,94,75,3.44,broken clouds
384,Aripuana,BR,-9.1667,-60.6333,72.97,98,99,0.89,overcast clouds
389,Oliveira,BR,-20.6964,-44.8272,68.2,84,100,4.18,overcast clouds
390,Port Augusta,AU,-32.5,137.7667,68.0,52,0,14.97,clear sky
394,Acari,PE,-15.4311,-74.6158,73.18,77,50,4.36,scattered clouds
398,Laguna,US,38.421,-121.4238,66.2,20,1,6.91,clear sky
403,Niquelandia,BR,-14.4739,-48.4597,71.02,73,17,3.91,few clouds
412,Conde,BR,-7.2597,-34.9075,75.2,100,90,5.75,overcast clouds
413,Pimentel,PE,-6.8367,-79.9342,71.6,78,0,18.41,clear sky
416,Tucurui,BR,-3.7661,-49.6725,73.76,96,100,3.36,very heavy rain
418,Ishigaki,JP,24.3448,124.1572,69.8,68,20,9.22,few clouds
420,Marsabit,KE,2.3284,37.9899,66.58,46,64,7.65,broken clouds
429,San Rafael,AR,-34.6177,-68.3301,66.63,36,0,7.9,clear sky
432,Pericos,MX,25.05,-107.7,71.6,49,40,11.5,scattered clouds
434,Dafeng,CN,23.4517,108.5881,68.11,87,100,4.0,overcast clouds
437,Toowoomba,AU,-27.55,151.9667,75.2,46,0,17.27,clear sky
438,Mabaruma,GY,8.2,-59.7833,72.75,81,38,3.15,scattered clouds
444,Jieshi,CN,22.8134,115.8257,66.99,74,0,13.91,clear sky
452,Lodja,CD,-3.4833,23.4333,68.05,98,100,1.63,light rain
454,Boda,CF,4.3189,17.4695,69.22,86,100,3.31,overcast clouds
456,Ulladulla,AU,-35.35,150.4667,75.2,57,75,14.97,light rain
458,Ballitoville,ZA,-29.539,31.2144,71.01,83,90,1.14,overcast clouds
460,Ridgecrest,US,35.6225,-117.6709,68.0,12,75,13.8,broken clouds
464,Cassilandia,BR,-19.1133,-51.7342,75.72,61,100,3.36,overcast clouds
469,Mbanza-Ngungu,CD,-5.25,14.8667,67.33,98,100,7.05,light rain
471,Japura,ID,-0.3167,102.35,74.5,96,100,2.8,overcast clouds
475,Te Anau,NZ,-45.4167,167.7167,65.1,54,1,1.07,clear sky
479,Curillo,CO,1.0333,-75.9191,72.9,92,100,0.87,overcast clouds
488,Porto Walter,BR,-8.2686,-72.7439,73.04,98,99,1.39,overcast clouds
495,Bluffton,US,32.2371,-80.8604,66.99,82,1,5.99,clear sky
496,Senador Jose Porfirio,BR,-2.5908,-51.9542,73.36,97,100,4.88,overcast clouds
499,Shakawe,BW,-18.3667,21.85,68.56,79,50,1.23,scattered clouds
508,Longhua,CN,23.6137,114.1919,73.53,39,0,3.11,clear sky
518,San Julian,MX,21.0167,-102.1667,67.55,14,85,14.52,overcast clouds
519,Bam,IR,29.105999999999998,58.357,72.86,24,21,9.55,few clouds
520,Marataizes,BR,-21.0433,-40.8244,75.7,88,0,6.55,clear sky
521,Seguin,US,29.5688,-97.9647,71.6,83,90,9.22,haze
523,Ikalamavony,MG,-21.15,46.5833,64.96,93,41,3.38,scattered clouds
531,Basco,PH,20.4487,121.9702,74.97,84,92,24.49,overcast clouds
532,Bongandanga,CD,1.5,21.05,69.1,98,100,3.62,light rain
533,Wattegama,LK,6.7989,81.4808,75.2,100,40,3.62,scattered clouds
541,Penukonda,IN,14.0833,77.5833,72.61,61,27,3.42,scattered clouds
543,Kaeo,NZ,-35.1,173.7833,75.0,61,11,8.01,few clouds
544,Buta,CD,2.7858,24.73,69.46,97,100,2.08,overcast clouds
557,Teluk Nibung,ID,3.0010000000000003,99.8164,74.3,94,100,2.93,heavy intensity rain
560,Potam,MX,27.6,-110.3833,66.99,37,1,10.36,clear sky
561,Nago,JP,26.5881,127.9761,71.6,64,1,13.8,clear sky
562,Urubicha,BO,-15.3833,-62.95,71.13,98,53,2.68,broken clouds
568,Avera,US,33.194,-82.5271,68.0,94,90,5.39,overcast clouds
573,High Rock,BS,26.6208,-78.2833,73.4,78,10,5.75,clear sky
581,Along,IN,28.1667,94.7667,70.18,45,44,1.83,scattered clouds
592,Altar,MX,30.7,-111.8167,66.99,26,4,8.99,clear sky
595,Huarmey,PE,-10.0681,-78.1522,71.92,78,100,8.52,overcast clouds
598,Necochea,AR,-38.5473,-58.7368,66.99,91,59,1.99,broken clouds
600,Ojinaga,MX,29.5667,-104.4167,66.2,22,1,26.46,clear sky
604,Laibin,CN,23.7,109.2667,68.29,81,100,2.77,overcast clouds
613,Paidha,UG,2.4167,30.9855,66.34,59,85,3.51,overcast clouds
619,San Martin,AR,-33.080999999999996,-68.4681,75.2,50,75,5.75,broken clouds
625,Matadi,CD,-5.8167,13.45,73.87,96,100,1.45,overcast clouds
628,Gushikawa,JP,26.3544,127.8686,71.6,64,1,13.8,clear sky
632,Ouango,CF,4.3133,22.5552,70.2,95,100,2.04,overcast clouds
637,Puerto Del Rosario,ES,28.5004,-13.8627,69.8,43,0,6.91,clear sky
639,Padilla,CO,3.2204,-76.3139,73.4,78,20,5.75,few clouds
640,Boma,GH,7.0805,-2.1697,72.66,94,100,3.31,overcast clouds
642,Tura,IN,25.5198,90.2201,74.57,26,2,3.62,clear sky
644,Sur,OM,22.5667,59.5289,75.31,57,0,7.96,clear sky
645,Khorramshahr,IR,30.4397,48.1664,73.4,64,0,21.85,clear sky
651,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,77,0,8.05,clear sky
657,Coxim,BR,-18.5067,-54.76,75.13,63,98,3.33,overcast clouds
662,Armeria,MX,18.9333,-103.9667,75.2,50,1,9.22,clear sky
672,Imbituba,BR,-28.24,-48.6703,73.4,94,75,12.66,broken clouds
684,Columbus,US,39.9612,-82.9988,66.99,48,40,9.22,scattered clouds
687,Itapecerica,BR,-20.4725,-45.1256,69.39,83,98,3.78,overcast clouds
688,Ranong,TH,9.9658,98.6348,75.2,94,0,1.14,clear sky
693,Kadi,IN,23.3,72.3333,75.2,22,5,6.91,smoke
